3000	1	0.5659	0.1962
3050	1	0.5771	0.207
3100	1	0.5879	0.215
3150	1	0.5965	0.2238
3200	1	0.6047	0.2332
3250	1	0.6169	0.2436
3300	1	0.6263	0.2541
3350	1	0.6318	0.262
3400	1	0.6402	0.271
3450	1	0.6499	0.2817
3500	1	0.6584	0.2913
3550	1	0.6677	0.3006
3600	1	0.678	0.3129
3650	1	0.6812	0.3203
3700	1	0.6929	0.3297
3750	1	0.6998	0.3404
3800	1	0.7069	0.3514
3850	1	0.7101	0.3609
3900	1	0.7219	0.3715
3950	1	0.7273	0.381
4000	1	0.7346	0.3922
4050	1	0.7445	0.4029
4100	1	0.7477	0.4132
4150	1	0.7513	0.4209
4200	1	0.7624	0.4342
4250	1	0.7679	0.4447
4300	1	0.7771	0.4559
4350	1	0.7825	0.4652
4400	1	0.7903	0.4771
4450	1	0.7946	0.4858
4500	1	0.8013	0.4944
4550	1	0.8053	0.5047
4600	1	0.8211	0.5201
4650	1	0.8208	0.5268
4700	1	0.8236	0.5362
4750	1	0.8323	0.5466
4800	1	0.8367	0.5579
4850	1	0.8404	0.5679
4900	1	0.8453	0.5792
4950	1	0.8551	0.5901
5000	1	0.8569	0.5998
5050	1	0.8626	0.6102
5100	1	0.867	0.6195
5150	1	0.868	0.631
5200	1	0.8762	0.639
5250	1	0.8797	0.6493
5300	1	0.8847	0.6597
5350	1	0.8903	0.6707
5400	1	0.8922	0.679
5450	1	0.8971	0.6898
5500	1	0.8875	0.6891
5550	1	0.9038	0.7046
5600	1	0.91	0.7169
5650	1	0.9154	0.7272
5700	1	0.9179	0.7352
5750	1	0.9291	0.7497
5800	1	0.9255	0.7549
5850	1	0.9351	0.7672
5900	1	0.9317	0.7725
5950	1	0.9371	0.7841
6000	1	0.9474	0.7939
6050	1	0.9479	0.804
6100	1	0.9463	0.8106
6150	1	0.9409	0.815
6200	1	0.9546	0.8313
6250	1	0.9563	0.8394
6300	1	0.9628	0.8467
6350	1	0.9588	0.8515
6400	1	0.9668	0.8646
6450	1	0.9731	0.8771
6500	1	0.973	0.8832
6550	1	0.9753	0.8921
6600	1	0.9799	0.9022
6650	1	0.981	0.9089
6700	1	0.9846	0.9175
6750	1	0.9843	0.9241
6800	1	0.9882	0.9352
6850	1	0.9921	0.9469
6900	1	0.9909	0.9521
6950	1	0.996	0.9641
7000	1	1	0.971
7050	1	0.9976	0.9773
7100	1	1	0.9852
7150	0.9961	1	0.9922
7200	0.9955	1	0.9966
7250	0.9906	0.9973	1
7300	0.9848	0.9919	1
7350	0.9765	0.9875	1
7400	0.9696	0.9838	1
7450	0.9637	0.9776	1
7500	0.9565	0.9738	1
7550	0.9517	0.9695	1
7600	0.9447	0.964	1
7650	0.9447	0.964	1
7700	0.932	0.9564	1
7750	0.9251	0.952	1
7800	0.9203	0.9463	1
7850	0.9131	0.9422	1
7900	0.9089	0.9381	1
7950	0.9012	0.9328	1
8000	0.8975	0.93	1
