0	0	0	0	0	0
256	0	0	270	0	0
512	0	0	546	0	0
768	0	0	796	0	0
1024	0	0	1045	0	0
1280	0	0	1315	0	0
1536	0	0	1546	0	0
1792	0	0	1795	0	0
2048	0	0	2045	0	0
2303	0	0	2326	0	0
2559	0	0	2561	0	0
2815	0	0	2808	0	0
3071	0	0	3057	0	0
3327	0	0	3311	1	0
3583	0	0	3557	1	0
3839	0	0	3806	1	0
4095	0	0	4039	1	0
0	256	0	1	257	0
256	256	0	270	257	0
512	256	0	545	256	0
768	256	0	795	256	0
1024	256	0	1044	256	0
1280	256	0	1313	255	0
1536	256	0	1546	255	0
1792	256	0	1793	254	0
2048	256	0	2044	254	0
2303	256	0	2326	254	0
2559	256	0	2560	253	0
2815	256	0	2810	253	0
3071	256	0	3058	252	0
3327	256	0	3313	251	0
3583	256	0	3559	251	0
3839	256	0	3807	250	0
4095	256	0	4040	249	0
0	512	0	1	515	0
256	512	0	271	514	0
512	512	0	547	514	0
768	512	0	796	513	0
1024	512	0	1046	512	0
1280	512	0	1316	512	0
1536	512	0	1547	511	0
1792	512	0	1795	510	0
2048	512	0	2044	510	0
2303	512	0	2328	509	0
2559	512	0	2562	509	0
2815	512	0	2810	508	0
3071	512	0	3061	507	0
3327	512	0	3314	508	0
3583	512	0	3558	507	0
3839	512	0	3809	506	0
4095	512	0	4042	505	0
0	768	0	2	759	0
256	768	0	271	759	0
512	768	0	548	758	0
768	768	0	796	757	0
1024	768	0	1046	757	0
1280	768	0	1317	756	0
1536	768	0	1548	756	0
1792	768	0	1796	755	0
2048	768	0	2046	754	0
2303	768	0	2329	755	0
2559	768	0	2563	753	0
2815	768	0	2811	752	0
3071	768	0	3060	752	0
3327	768	0	3316	752	0
3583	768	0	3560	751	0
3839	768	0	3810	751	0
4095	768	0	4043	749	0
0	1024	0	3	1002	0
256	1024	0	272	999	0
512	1024	0	548	999	0
768	1024	0	798	999	0
1024	1024	0	1048	998	0
1280	1024	0	1317	998	0
1536	1024	0	1550	998	0
1792	1024	0	1798	996	0
2048	1024	0	2048	996	0
2303	1024	0	2330	995	0
2559	1024	0	2564	994	0
2815	1024	0	2813	995	0
3071	1024	0	3063	993	0
3327	1024	0	3317	994	0
3583	1024	0	3562	993	0
3839	1024	0	3811	992	0
4095	1024	0	4043	991	1
0	1280	0	3	1256	0
256	1280	0	274	1255	0
512	1280	0	549	1255	0
768	1280	0	798	1254	0
1024	1280	0	1049	1254	0
1280	1280	0	1318	1252	0
1536	1280	0	1550	1251	0
1792	1280	0	1798	1251	0
2048	1280	0	2049	1251	0
2303	1280	0	2332	1250	0
2559	1280	0	2564	1250	0
2815	1280	0	2813	1248	0
3071	1280	0	3063	1248	0
3327	1280	0	3318	1248	0
3583	1280	0	3562	1247	1
3839	1280	0	3812	1247	1
4095	1280	0	4044	1245	1
0	1536	0	4	1491	0
256	1536	0	274	1489	0
512	1536	0	550	1489	0
768	1536	0	798	1488	0
1024	1536	0	1048	1488	0
1280	1536	0	1319	1487	0
1536	1536	0	1550	1487	0
1792	1536	0	1798	1486	0
2048	1536	0	2050	1486	0
2303	1536	0	2332	1485	0
2559	1536	0	2566	1484	0
2815	1536	0	2815	1484	0
3071	1536	0	3064	1483	0
3327	1536	0	3319	1483	1
3583	1536	0	3563	1483	1
3839	1536	0	3813	1482	1
4095	1536	0	4046	1481	1
0	1792	0	5	1730	0
256	1792	0	274	1727	0
512	1792	0	550	1728	0
768	1792	0	799	1728	0
1024	1792	0	1049	1727	0
1280	1792	0	1319	1726	0
1536	1792	0	1551	1726	0
1792	1792	0	1799	1726	0
2048	1792	0	2050	1725	0
2303	1792	0	2334	1725	0
2559	1792	0	2566	1724	0
2815	1792	0	2815	1723	0
3071	1792	0	3065	1722	1
3327	1792	0	3319	1722	1
3583	1792	0	3564	1721	1
3839	1792	0	3814	1721	2
4095	1792	0	4046	1720	2
0	2048	0	5	1972	0
256	2048	0	275	1970	0
512	2048	0	551	1969	0
768	2048	0	799	1969	0
1024	2048	0	1051	1969	0
1280	2048	0	1321	1968	0
1536	2048	0	1552	1969	0
1792	2048	0	1800	1967	0
2048	2048	0	2051	1967	0
2303	2048	0	2335	1967	0
2559	2048	0	2566	1965	1
2815	2048	0	2815	1965	1
3071	2048	0	3066	1964	1
3327	2048	0	3320	1963	1
3583	2048	0	3565	1963	2
3839	2048	0	3815	1963	2
4095	2048	0	4047	1961	2
0	2303	0	6	2230	0
256	2303	0	276	2228	0
512	2303	0	552	2227	0
768	2303	0	801	2228	0
1024	2303	0	1051	2226	0
1280	2303	0	1322	2226	0
1536	2303	0	1554	2225	0
1792	2303	0	1801	2225	0
2048	2303	0	2053	2225	0
2303	2303	0	2335	2224	0
2559	2303	0	2568	2222	1
2815	2303	0	2817	2222	1
3071	2303	0	3067	2221	1
3327	2303	0	3323	2220	2
3583	2303	0	3566	2219	2
3839	2303	0	3816	2219	2
4095	2303	0	4049	2218	2
0	2559	0	7	2475	0
256	2559	0	277	2474	0
512	2559	0	552	2473	0
768	2559	0	803	2473	0
1024	2559	0	1052	2473	0
1280	2559	0	1323	2472	0
1536	2559	0	1555	2472	0
1792	2559	0	1803	2471	0
2048	2559	0	2053	2470	0
2303	2559	0	2337	2470	1
2559	2559	0	2569	2469	1
2815	2559	0	2819	2469	1
3071	2559	0	3069	2468	1
3327	2559	0	3323	2466	2
3583	2559	0	3567	2466	2
3839	2559	0	3818	2465	2
4095	2559	0	4049	2463	3
0	2815	0	7	2715	0
256	2815	0	278	2713	0
512	2815	0	553	2713	0
768	2815	0	802	2712	0
1024	2815	0	1053	2711	0
1280	2815	0	1324	2711	0
1536	2815	0	1555	2710	0
1792	2815	0	1804	2710	0
2048	2815	0	2054	2710	1
2303	2815	0	2338	2709	1
2559	2815	0	2571	2708	1
2815	2815	0	2819	2708	1
3071	2815	0	3070	2706	2
3327	2815	0	3324	2706	2
3583	2815	0	3568	2705	2
3839	2815	0	3819	2703	3
4095	2815	0	4050	2702	3
0	3071	0	9	2957	0
256	3071	0	278	2955	0
512	3071	0	554	2954	0
768	3071	0	803	2953	0
1024	3071	0	1054	2953	0
1280	3071	0	1325	2953	0
1536	3071	0	1556	2952	0
1792	3071	0	1804	2952	1
2048	3071	0	2055	2950	1
2303	3071	0	2339	2951	1
2559	3071	0	2571	2950	2
2815	3071	0	2820	2949	2
3071	3071	0	3070	2948	2
3327	3071	0	3325	2948	3
3583	3071	0	3570	2946	3
3839	3071	0	3819	2945	3
4095	3071	0	4051	2943	4
0	3327	0	9	3199	0
256	3327	0	279	3196	0
512	3327	0	554	3195	0
768	3327	0	804	3195	0
1024	3327	0	1055	3195	0
1280	3327	0	1326	3194	1
1536	3327	0	1557	3193	1
1792	3327	0	1804	3192	1
2048	3327	0	2054	3192	2
2303	3327	0	2340	3192	2
2559	3327	0	2571	3191	2
2815	3327	0	2821	3190	2
3071	3327	0	3071	3189	2
3327	3327	0	3325	3188	3
3583	3327	0	3571	3188	4
3839	3327	0	3820	3186	3
4095	3327	0	4051	3184	4
0	3583	0	10	3440	0
256	3583	0	280	3437	0
512	3583	0	556	3438	0
768	3583	0	805	3437	0
1024	3583	0	1056	3437	0
1280	3583	0	1327	3436	1
1536	3583	0	1557	3434	1
1792	3583	0	1805	3435	1
2048	3583	0	2056	3434	2
2303	3583	0	2340	3433	2
2559	3583	0	2573	3433	2
2815	3583	0	2821	3431	3
3071	3583	0	3072	3431	3
3327	3583	0	3326	3429	3
3583	3583	0	3571	3428	3
3839	3583	0	3822	3427	4
4095	3583	0	4053	3424	4
0	3839	0	11	3685	0
256	3839	0	277	3682	0
512	3839	0	556	3682	1
768	3839	0	805	3682	1
1024	3839	0	1055	3681	1
1280	3839	0	1327	3680	1
1536	3839	0	1558	3679	1
1792	3839	0	1806	3678	2
2048	3839	0	2058	3678	2
2303	3839	0	2341	3677	2
2559	3839	0	2573	3676	2
2815	3839	0	2822	3676	3
3071	3839	0	3072	3674	3
3327	3839	0	3327	3673	4
3583	3839	0	3573	3672	4
3839	3839	0	3822	3671	4
4095	3839	0	4054	3668	5
0	4095	0	10	3925	0
256	4095	0	275	3921	1
512	4095	0	554	3921	1
768	4095	0	804	3920	1
1024	4095	0	1055	3919	1
1280	4095	0	1326	3919	2
1536	4095	0	1557	3918	2
1792	4095	0	1806	3917	2
2048	4095	0	2057	3916	3
2303	4095	0	2342	3916	3
2559	4095	0	2574	3916	3
2815	4095	0	2822	3914	3
3071	4095	0	3073	3912	4
3327	4095	0	3327	3912	4
3583	4095	0	3573	3910	4
3839	4095	0	3822	3908	5
4095	4095	0	4054	3906	5
0	0	256	2	6	232
256	0	256	272	6	232
512	0	256	550	5	233
768	0	256	800	4	232
1024	0	256	1050	4	232
1280	0	256	1322	3	231
1536	0	256	1553	2	231
1792	0	256	1802	2	231
2048	0	256	2051	2	230
2303	0	256	2333	2	231
2559	0	256	2568	1	231
2815	0	256	2815	1	230
3071	0	256	3065	1	230
3327	0	256	3319	2	229
3583	0	256	3563	2	230
3839	0	256	3812	2	223
4095	0	256	4045	2	228
0	256	256	3	265	232
256	256	256	273	264	231
512	256	256	550	264	230
768	256	256	800	264	230
1024	256	256	1051	263	231
1280	256	256	1321	263	230
1536	256	256	1553	262	230
1792	256	256	1800	261	229
2048	256	256	2052	261	229
2303	256	256	2334	260	229
2559	256	256	2567	260	229
2815	256	256	2816	260	229
3071	256	256	3066	258	229
3327	256	256	3319	259	228
3583	256	256	3565	258	228
3839	256	256	3814	252	226
4095	256	256	4046	256	222
0	512	256	3	524	230
256	512	256	275	522	229
512	512	256	551	522	229
768	512	256	801	521	229
1024	512	256	1052	522	228
1280	512	256	1323	521	229
1536	512	256	1554	520	229
1792	512	256	1802	520	228
2048	512	256	2053	519	228
2303	512	256	2337	518	227
2559	512	256	2569	518	227
2815	512	256	2817	517	227
3071	512	256	3068	517	227
3327	512	256	3322	516	227
3583	512	256	3566	516	227
3839	512	256	3816	514	225
4095	512	256	4047	514	221
0	768	256	4	768	229
256	768	256	275	768	228
512	768	256	552	766	228
768	768	256	802	767	227
1024	768	256	1053	766	227
1280	768	256	1323	766	228
1536	768	256	1555	765	227
1792	768	256	1803	764	227
2048	768	256	2054	765	227
2303	768	256	2336	764	226
2559	768	256	2570	763	226
2815	768	256	2819	763	226
3071	768	256	3068	762	226
3327	768	256	3323	761	226
3583	768	256	3567	761	225
3839	768	256	3816	760	223
4095	768	256	4049	758	219
0	1024	256	5	1011	227
256	1024	256	276	1010	227
512	1024	256	552	1010	227
768	1024	256	802	1009	226
1024	1024	256	1054	1008	227
1280	1024	256	1324	1008	226
1536	1024	256	1556	1007	226
1792	1024	256	1803	1007	226
2048	1024	256	2054	1006	225
2303	1024	256	2337	1005	225
2559	1024	256	2571	1005	225
2815	1024	256	2819	1004	225
3071	1024	256	3069	1003	225
3327	1024	256	3323	1003	224
3583	1024	256	3569	1003	224
3839	1024	256	3818	1003	223
4095	1024	256	4050	1002	219
0	1280	256	5	1267	227
256	1280	256	277	1266	226
512	1280	256	553	1265	226
768	1280	256	803	1265	226
1024	1280	256	1055	1264	226
1280	1280	256	1325	1264	225
1536	1280	256	1556	1263	225
1792	1280	256	1804	1262	224
2048	1280	256	2055	1261	224
2303	1280	256	2339	1261	224
2559	1280	256	2571	1261	224
2815	1280	256	2819	1259	224
3071	1280	256	3070	1259	223
3327	1280	256	3325	1258	223
3583	1280	256	3569	1259	223
3839	1280	256	3819	1257	220
4095	1280	256	4050	1255	219
0	1536	256	6	1501	226
256	1536	256	276	1499	224
512	1536	256	554	1500	225
768	1536	256	803	1499	225
1024	1536	256	1054	1498	224
1280	1536	256	1325	1499	224
1536	1536	256	1557	1497	224
1792	1536	256	1805	1497	223
2048	1536	256	2056	1497	223
2303	1536	256	2339	1496	222
2559	1536	256	2573	1496	223
2815	1536	256	2821	1495	223
3071	1536	256	3071	1494	222
3327	1536	256	3326	1494	222
3583	1536	256	3569	1493	221
3839	1536	256	3819	1492	219
4095	1536	256	4050	1492	218
0	1792	256	7	1741	225
256	1792	256	277	1740	224
512	1792	256	554	1740	224
768	1792	256	804	1739	223
1024	1792	256	1055	1739	223
1280	1792	256	1325	1738	223
1536	1792	256	1558	1738	222
1792	1792	256	1806	1737	222
2048	1792	256	2056	1736	222
2303	1792	256	2341	1736	222
2559	1792	256	2573	1736	222
2815	1792	256	2823	1735	221
3071	1792	256	3072	1735	222
3327	1792	256	3326	1733	222
3583	1792	256	3571	1732	221
