3000	1	0.5622	0.2045
3050	1	0.5715	0.2131
3100	1	0.5767	0.2254
3150	1	0.5898	0.234
3200	1	0.5966	0.243
3250	1	0.6071	0.2521
3300	1	0.6147	0.2616
3350	1	0.6209	0.2706
3400	1	0.6303	0.2819
3450	1	0.6379	0.2911
3500	1	0.6489	0.3022
3550	1	0.6579	0.3135
3600	1	0.6595	0.3199
3650	1	0.6668	0.3295
3700	1	0.6753	0.3411
3750	1	0.6804	0.3509
3800	1	0.6892	0.3609
3850	1	0.6952	0.3712
3900	1	0.7035	0.3833
3950	1	0.708	0.3932
4000	1	0.7151	0.4046
4050	1	0.7218	0.4153
4100	1	0.7279	0.4257
4150	1	0.7343	0.4367
4200	1	0.7398	0.4466
4250	1	0.7489	0.4586
4300	1	0.7537	0.4685
4350	1	0.7568	0.4773
4400	1	0.7503	0.4826
4450	1	0.7703	0.4967
4500	1	0.7747	0.5105
4550	1	0.7779	0.5196
4600	1	0.7826	0.5296
4650	1	0.7897	0.5395
4700	1	0.7938	0.5512
4750	1	0.7986	0.5627
4800	1	0.8029	0.5715
4850	1	0.8014	0.5824
4900	1	0.8102	0.5921
4950	1	0.8166	0.6017
5000	1	0.8217	0.6112
5050	1	0.8235	0.6213
5100	1	0.828	0.6296
5150	1	0.8333	0.6409
5200	1	0.836	0.6507
5250	1	0.84	0.6641
5300	1	0.844	0.6702
5350	1	0.8455	0.6811
5400	1	0.8505	0.6882
5450	1	0.8541	0.6982
5500	1	0.8568	0.7067
5550	1	0.8618	0.7179
5600	1	0.8658	0.7273
5650	1	0.8694	0.7361
5700	1	0.8728	0.7461
5750	1	0.8743	0.7555
5800	1	0.8774	0.7643
5850	1	0.8807	0.7738
5900	1	0.8833	0.782
5950	1	0.8874	0.7935
6000	1	0.8831	0.7943
6050	1	0.8909	0.8091
6100	1	0.9009	0.8229
6150	1	0.9001	0.8315
6200	1	0.8997	0.8366
6250	1	0.9002	0.8458
6300	1	0.9008	0.857
6350	1	0.9008	0.857
6400	1	0.9079	0.8709
6450	1	0.9098	0.8799
6500	1	0.9135	0.888
6550	1	0.9152	0.8968
6600	1	0.9173	0.9045
6650	1	0.919	0.9127
6700	1	0.9255	0.9236
6750	1	0.9194	0.9269
6800	1	0.9253	0.9371
6850	1	0.9278	0.9439
6900	1	0.9297	0.9522
6950	1	0.9355	0.9644
7000	1	0.935	0.9666
7050	1	0.9352	0.9755
7100	1	0.9394	0.9865
7150	1	0.9354	0.9875
7200	1	0.9383	1
7250	1	0.9327	1
7300	0.985	0.9249	1
7350	0.9763	0.9219	1
7400	0.9727	0.9154	1
7450	0.9643	0.9114	1
7500	0.9576	0.9076	1
7550	0.9502	0.9006	1
7600	0.9513	0.8951	1
7650	0.936	0.8864	1
7700	0.9317	0.8878	1
7750	0.9261	0.8831	1
7800	0.9195	0.8792	1
7850	0.9156	0.8748	1
7900	0.9078	0.8688	1
7950	0.9035	0.8658	1
8000	0.8962	0.8626	1
