0	0	0	0	0	0
256	0	0	250	0	0
512	0	0	495	0	0
768	0	0	736	0	0
1024	0	0	976	0	0
1280	0	0	1215	0	0
1536	0	0	1456	0	0
1792	0	0	1697	0	0
2048	0	0	1937	0	0
2303	0	0	2193	0	0
2559	0	0	2441	0	0
2815	0	0	2672	0	0
3071	0	0	2911	0	0
3327	0	0	3151	0	0
3583	0	0	3387	0	0
3839	0	0	3632	0	0
4095	0	0	3872	0	0
0	256	0	3	239	0
256	256	0	253	239	0
512	256	0	497	239	0
768	256	0	739	239	0
1024	256	0	978	239	0
1280	256	0	1218	239	0
1536	256	0	1459	239	0
1792	256	0	1701	240	0
2048	256	0	1939	240	0
2303	256	0	2197	240	0
2559	256	0	2443	241	0
2815	256	0	2675	241	0
3071	256	0	2915	241	0
3327	256	0	3153	241	0
3583	256	0	3389	241	0
3839	256	0	3634	241	0
4095	256	0	3874	240	0
0	512	0	7	483	0
256	512	0	257	482	0
512	512	0	501	481	0
768	512	0	744	482	0
1024	512	0	982	482	0
1280	512	0	1224	483	0
1536	512	0	1465	483	0
1792	512	0	1706	483	0
2048	512	0	1944	484	0
2303	512	0	2202	484	0
2559	512	0	2448	484	0
2815	512	0	2680	484	0
3071	512	0	2920	484	0
3327	512	0	3157	484	0
3583	512	0	3394	484	0
3839	512	0	3637	483	0
4095	512	0	3876	483	0
0	768	0	10	715	0
256	768	0	260	714	0
512	768	0	506	714	0
768	768	0	748	714	0
1024	768	0	985	714	0
1280	768	0	1228	716	0
1536	768	0	1469	717	0
1792	768	0	1709	717	0
2048	768	0	1947	717	0
2303	768	0	2205	717	0
2559	768	0	2452	718	0
2815	768	0	2683	718	0
3071	768	0	2922	717	0
3327	768	0	3161	717	0
3583	768	0	3397	717	0
3839	768	0	3642	717	0
4095	768	0	3882	717	0
0	1024	0	14	945	0
256	1024	0	265	943	0
512	1024	0	510	944	0
768	1024	0	751	944	0
1024	1024	0	989	943	0
1280	1024	0	1230	944	0
